" ","patent_parties","patents_granted","inventors","owners","applicants","emp_patenting_ind","wages_paid_patenting_ind","exports_all_countries","exports_united_states","exports_china","exports_mexico","exports_united_kingdom","exports_japan","exports_germany","exports_south_korea","exports_italy","exports_france","exports_netherlands","exports_belgium","exports_spain","exports_hong_kong","exports_brazil","exports_algeria","exports_norway","exports_india","exports_switzerland","exports_saudi_arabia","exports_turkiye","exports_taiwan","exports_peru","exports_australia","exports_iraq","exports_indonesia","exports_singapore","exports_russian_federation","exports_other_countries","imports_all_countries","imports_united_states","imports_china","imports_mexico","imports_united_kingdom","imports_japan","imports_germany","imports_south_korea","imports_italy","imports_france","imports_netherlands","imports_belgium","imports_spain","imports_hong_kong","imports_brazil","imports_algeria","imports_norway","imports_india","imports_switzerland","imports_saudi_arabia","imports_turkiye","imports_taiwan","imports_peru","imports_australia","imports_iraq","imports_indonesia","imports_singapore","imports_russian_federation","imports_other_countries","total_pop","total_emp","total_full_emp","total_part_emp","total_unem","total_emp_rate","total_wage","total_wage_males","total_wage_females","total_avg_wage","total_median_wage","total_usual_hours","total_actual_hours","total_avg_tenure","total_bankruptcies","total_insolvencies","emp_males","emp_females","emp_goods","emp_agriculture","emp_natural_resources","emp_utilities","emp_construction","emp_manufacturing","emp_services","emp_wholesale_and_retail","emp_transportation","emp_finance","emp_business","emp_professional","emp_education","emp_healthcare","emp_media","emp_food","emp_other","emp_public","avg_wage_males","avg_wage_females","median_wage_males","median_wage_females","median_wage_goods","median_wage_agriculture","median_wage_natural_resources","median_wage_utilities","median_wage_construction","median_wage_manufacturing","median_wage_services","median_wage_wholesale_and_retail","median_wage_transportation","median_wage_finance","median_wage_business","median_wage_professional","median_wage_education","median_wage_healthcare","median_wage_media","median_wage_food","median_wage_other","median_wage_public","new_housing_price_index","wages_paid_goods","wages_paid_agriculture","wages_paid_natural_resources","wages_paid_utilities","wages_paid_construction","wages_paid_manufacturing","wages_paid_services","wages_paid_wholesale_and_retail","wages_paid_transportation","wages_paid_finance","wages_paid_business","wages_paid_professional","wages_paid_education","wages_paid_healthcare","wages_paid_media","wages_paid_food","wages_paid_other","wages_paid_public","average_usual_hours","average_usual_hours_males","average_usual_hours_females","average_actual_hours","average_actual_hours_males","average_actual_hours_females","retail_sales","wholesale_sales","manufacturing_sales","business_bankruptcies","business_insolvencies"
"patent_parties","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"patents_granted",".64","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"inventors",".98",".70","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"owners",".97",".55",".90","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"applicants",".98",".78",".97",".90","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_patenting_ind",".81",".80",".82",".76",".83","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"wages_paid_patenting_ind",".91",".85",".95",".82",".93","1.00","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_all_countries",".87",".87",".91",".76",".90",".92",".92","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_united_states",".87",".84",".89",".78",".89",".89",".89",".99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"exports_china",".17",".38",".26",".04",".22",".32",".32",".38",".31","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
